bike_number,accumulated_hours_past,total_trips_past,bike_model
52478,90.55614194444443,354.0,CLASSIC
52479,46.92125166666668,165.0,CLASSIC
52482,23.036420555555555,97.0,CLASSIC
52483,77.1240375,322.0,CLASSIC
52485,10.48966,50.0,CLASSIC
52486,34.99271555555555,136.0,CLASSIC
52488,81.67215777777778,333.0,CLASSIC
52490,45.29981055555555,184.0,CLASSIC
52491,97.61027138888888,346.0,CLASSIC
52492,89.05576055555555,231.0,CLASSIC
52493,85.5874261111111,323.0,CLASSIC
52496,50.626131944444445,210.0,CLASSIC
52497,95.30235111111112,354.0,CLASSIC
52502,27.733789166666668,96.0,CLASSIC
52503,85.5403513888889,276.0,CLASSIC
52504,16.782003333333332,67.0,CLASSIC
52506,29.40322055555556,128.0,CLASSIC
52510,85.85298916666666,315.0,CLASSIC
52511,90.97261166666668,310.0,CLASSIC
52512,34.091994166666666,143.0,CLASSIC
52515,62.64618972222221,246.0,CLASSIC
52516,60.202041944444446,243.0,CLASSIC
52517,70.83388694444444,279.0,CLASSIC
52518,64.06348527777777,216.0,CLASSIC
52519,66.06253166666667,253.0,CLASSIC
52520,111.021025,423.0,CLASSIC
52521,92.84077111111112,376.0,CLASSIC
52523,138.86545972222223,470.0,CLASSIC
52524,85.21277972222222,310.0,CLASSIC
52525,71.46092833333334,266.0,CLASSIC
52526,78.11862972222224,333.0,CLASSIC
52527,77.37375972222222,306.0,CLASSIC
52528,41.13128555555555,174.0,CLASSIC
52529,47.97091277777778,236.0,CLASSIC
52530,50.41946333333333,216.0,CLASSIC
52531,80.39012749999999,324.0,CLASSIC
52532,112.07898055555556,432.0,CLASSIC
52533,92.21533916666668,382.0,CLASSIC
52534,32.8187375,121.0,CLASSIC
52536,70.20919083333331,247.0,CLASSIC
52537,35.85426583333333,131.0,CLASSIC
52538,89.27503833333334,289.0,CLASSIC
52540,124.52128527777778,426.0,CLASSIC
52541,83.74811222222223,351.0,CLASSIC
52543,42.07831111111111,161.0,CLASSIC
52544,45.22209888888889,212.0,CLASSIC
52547,45.65978777777778,157.0,CLASSIC
52548,89.18616416666667,349.0,CLASSIC
52550,65.61224666666666,219.0,CLASSIC
52551,82.92546250000001,326.0,CLASSIC
52552,77.54456527777778,302.0,CLASSIC
52553,110.59360166666669,310.0,CLASSIC
52554,101.28529972222222,380.0,CLASSIC
52555,109.28102055555556,437.0,CLASSIC
52556,95.03247027777778,395.0,CLASSIC
52557,46.048656944444446,193.0,CLASSIC
52558,52.89185888888888,225.0,CLASSIC
52559,52.47819222222223,176.0,CLASSIC
52560,66.33381944444444,267.0,CLASSIC
52562,61.56767111111111,240.0,CLASSIC
52563,58.4539275,219.0,CLASSIC
52567,76.63148555555556,310.0,CLASSIC
52569,30.640211944444445,133.0,CLASSIC
52570,76.21767944444443,295.0,CLASSIC
52571,31.488163333333333,101.0,CLASSIC
52573,71.50884027777778,273.0,CLASSIC
52575,101.6459702777778,334.0,CLASSIC
52576,89.48034138888889,333.0,CLASSIC
52577,121.21029833333333,222.0,CLASSIC
52579,116.30282555555556,426.0,CLASSIC
52580,37.57991111111112,176.0,CLASSIC
52581,46.58754916666667,157.0,CLASSIC
52582,28.835905000000004,133.0,CLASSIC
52583,11.373896666666669,44.0,CLASSIC
52584,77.59223861111111,291.0,CLASSIC
52585,103.8136975,424.0,CLASSIC
