bike_number,bike_model,accumulated_hours_past,total_trips_past
2,CLASSIC,10.073761388888888,42
4,CLASSIC,8.701761944444444,48
10168,CLASSIC,3.6456825,14
10169,CLASSIC,3.860265,10
10274,CLASSIC,10.431093333333333,40
10300,CLASSIC,0.9275491666666666,2
10310,CLASSIC,12.001751388888888,54
10342,CLASSIC,1.9072541666666667,6
10390,CLASSIC,1.0831441666666666,6
10744,CLASSIC,7.213363888888889,23
10819,CLASSIC,1.7887005555555555,6
10941,CLASSIC,2.834464166666667,11
10957,CLASSIC,10.057986111111111,44
11204,CLASSIC,4.0809125,13
11210,CLASSIC,1.3445180555555556,7
11226,CLASSIC,4.327048055555555,14
11228,CLASSIC,9.877275277777779,36
11235,CLASSIC,4.464501944444445,20
11238,CLASSIC,2.1498222222222223,10
11248,CLASSIC,13.040958055555555,46
11266,CLASSIC,2.135091666666667,13
11270,CLASSIC,7.377365,32
11285,CLASSIC,9.307441666666668,44
11287,CLASSIC,6.212069166666667,6
11288,CLASSIC,11.750183055555555,36
11296,CLASSIC,1.9768652777777778,10
11302,CLASSIC,2.311882777777778,4
11305,CLASSIC,0.7548633333333333,5
11355,CLASSIC,1.5750880555555555,12
11364,CLASSIC,3.0988775,18
11381,CLASSIC,4.600048888888889,27
11387,CLASSIC,3.8133866666666667,15
11391,CLASSIC,6.640386111111111,31
11405,CLASSIC,3.512360833333333,13
11406,CLASSIC,12.400048611111112,50
11407,CLASSIC,7.651691111111111,36
11425,CLASSIC,4.775680555555556,24
11440,CLASSIC,12.658042222222223,57
11445,CLASSIC,2.4214213888888887,14
11447,CLASSIC,3.5770694444444446,15
11464,CLASSIC,9.926549722222223,55
11475,CLASSIC,11.514629444444445,43
11479,CLASSIC,6.5281175,21
11480,CLASSIC,5.23906,23
11499,CLASSIC,11.921841944444445,42
11512,CLASSIC,3.8957361111111113,20
11515,CLASSIC,10.015189722222223,41
11517,CLASSIC,2.6428969444444443,12
11531,CLASSIC,10.536225277777778,34
11552,CLASSIC,1.2412586111111112,5
11577,CLASSIC,7.285151388888889,26
11579,CLASSIC,1.5710033333333333,8
11616,CLASSIC,16.712674444444442,21
11637,CLASSIC,8.018973055555556,27
11656,CLASSIC,9.359205,45
11667,CLASSIC,3.9289119444444442,12
11673,CLASSIC,4.977365,16
11676,CLASSIC,0.8126372222222222,3
11678,CLASSIC,9.016186388888888,37
11698,CLASSIC,5.913698611111111,14
11702,CLASSIC,3.5708675,15
11710,CLASSIC,9.902479444444445,44
11717,CLASSIC,8.07532861111111,36
11720,CLASSIC,8.2191325,36
11729,CLASSIC,6.523340833333333,15
11744,CLASSIC,3.2894002777777778,11
11748,CLASSIC,6.207336111111111,30
11758,CLASSIC,4.893716111111111,12
11763,CLASSIC,14.248195833333334,45
11764,CLASSIC,6.04444,29
11778,CLASSIC,14.365178333333334,27
11784,CLASSIC,6.462410277777778,27
11805,CLASSIC,1.7502916666666666,6
